Name,Price,Make,Model,Year,Condition,Transmission,Exchange,Fuel Type,BodyType,Location,Mileage
Toyota Camry For sale at Affordable Price,"1,000,000",Toyota,Camry,2002,,Automatic,,Petrol,,Abeokuta,1100
Toyota Solara For Sale At Affordable Price,"1,000,000",Toyota,Solara,2002,,Automatic,,Petrol,,Abakaliki,1000
neat Lexus Es330 2004 model,"1,000,000",Lexus,ES,2002,,Automatic,,Petrol,,Owerri,525283
tokumbor Lexus Rx 330 2006 model for sale,"1,200,000",Lexus,RX,2002,,Automatic,,Petrol,,Lagos,256325
A Toyota avensis for sale... foreign used ,"2,500,000",Toyota,Avensis,2006,,Automatic,,Petrol,,Ikeja,15600
very clean toyota Corolla 2018 model for sale,"1,500,000",Toyota,Corolla,2002,,Automatic,,Petrol,,Lagos,215354
used toyota Corolla le 2010 model for sale,"1,200,000",Toyota,Corolla,2002,,Automatic,,Petrol,,Owerri,231452
tokumbor toyota Camry le 2012 model,"1,500,000",Toyota,Camry,2002,,Automatic,,Petrol,,Harcourt,235416
very clean used toyota Camry 2009 model for sale,"1,200,000",Toyota,Camry,2002,,Automatic,,Petrol,,Ibadan,231452
tokumbor toyota Camry 2008 le for sale,"1,250,000",Toyota,Camry,2002,,Automatic,,Petrol,,Abuja,253452
Very Clean Tokumbo Honda Accord 2006 Model ,"1,350,000",Honda,Accord,2002,,Automatic,,Petrol,,Ibadan,10333
foreign used toyota Camry 2005 model for sale,"1,000,000",Toyota,Camry,2002,,Automatic,,Petrol,,Harcourt,524632
amazing direct tokumbo Toyota picnic for sale.. ,"1,050,000",Toyota,Picnic,2002,,Automatic,,Petrol,,Oshogbo,12000
Super cool and clean Toyota Corolla 2005 ,"1,450,000",Toyota,Corolla,2002,,Automatic,,Petrol,,Abuja,11200
2005 Honda Accord,"2,850,000",Honda,Accord,2005,,Automatic,,Petrol,,Island,40000
foreign used toyota Camry 2005 model for sale,"1,000,000",Toyota,Camry,2002,,Automatic,,Petrol,,Lagos,452535
Lexus rx350 is full of options buy and drive ,"1,500,000",Lexus,RX,2002,,Automatic,,Petrol,,Abuja,1000
2009 Toyota Camry is full of options buy and drive ,"1,200,000",Toyota,Camry,2002,,Automatic,,Petrol,,Ikorodu,1000
2010 Toyota Corolla sport is full of options buy and drive ,"1,500,000",Toyota,Corolla,2002,,Automatic,,Petrol,,Ikorodu,1000
2004 Lexus Es350 is full of options buy and drive ,"1,400,000",Lexus,ES,2002,,Automatic,,Petrol,,Ikorodu,1000
